id,genres,original_title,overview,backdrop_path,poster_path,budget,release_date,revenue,runtime,year,trailer
880841,"Horror, Mystery, Thriller",Abandoned,"After a young couple moves into a remote farmhouse with their infant son, the woman's struggles with postpartum psychosis begin to intensify... as the house reveals secrets of its own.",/rXFe9rYsq4j1zEiOivJoUfdWsuR.jpg,/cO9ywQ2AMHM9EoBJsJGH1Gl9U5L.jpg,0,2022-06-17,60500,102,2022,rNON4M0Sr6Y
874355,"Drama, Mystery, Thriller",Gone in the Night,"Upon arriving at a remote cabin in the redwoods, Kath and her boyfriend find a mysterious younger couple already there — the rental has apparently been double-booked. They decide to share the cabin with these strangers until the next morning, but her boyfriend disappears with the young woman, which sends Kath in a spiral to find an explanation for their sudden breakup — but the truth is far stranger than she could have imagined.",/1179VQ6ckccWzgyS2PHxWMFDGKI.jpg,/A1F9RpyLNbYyE9nE4INrVQh0b7T.jpg,0,2022-07-15,123833,90,2022,bnb_yOzLleg
693113,"Crime, Mystery, Thriller, Action",Midnight in the Switchgrass,"FBI Agent Karl Helter and his partner Rebecca Lombardo are very close to busting a sex-trafficking ring. When they realize their investigation has crossed the path of a brutal serial killer, they team up with a FDLE agent to put an end to the infamous 'Truck Stop Killer'.",/2K6To8RV2LpzuStfkz8zeVvR1TP.jpg,/1OTSuh2HNcTRfme8caU8DjgJ39K.jpg,15000000,2021-07-23,229811,99,2021,1pNN66fRumw
639721,"Animation, Family, Comedy, Fantasy, Adventure",The Addams Family 2,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,/wfrfxivLOBtGMC98tIr2LSOeKSe.jpg,/ld7YB9vBRp1GM1DT3KmFWSmtBPB.jpg,0,2021-10-01,119815153,93,2021,946LiJiMQrQ
607430,"Drama, Fantasy",Nine Days,A bureaucrat interviews five souls to decide which of them will be given a life on Earth. But he soon faces an existential challenge of his own.,/wLewdoshX7fqzsDoMlTP5njnckP.jpg,/kl8J3WvzJq6QGX7qNmP0ps4ZTSO.jpg,10000000,2021-07-15,969204,124,2021,A73FnWETvr8
565028,"Horror, Mystery, Thriller",Candyman,"A Chicago artist's sanity starts to unravel, unleashing a terrifying wave of violence when he begins to explore the macabre history of the Candyman.",/g1cMEQnEptUJ7Sv8SRjWBTTHyMv.jpg,/qeV15PpR8jFJA9TF9JPXIoqEgp1.jpg,25000000,2021-08-25,77411570,91,2021,TPBH3XO8YEU
366672,"Animation, Adventure, Comedy, Family",Paws of Fury: The Legend of Hank,"A hard-on-his-luck hound finds himself in a town full of cats in need of a hero to defend them from a ruthless villain's wicked plot to wipe their village off the map. With help from a reluctant mentor, our underdog must assume the role of town samurai and team up with the villagers to save the day.",/dxjzHND7ZYNUnMWWU715y39ihPF.jpg,/wMDUDwAArpfGdtTTZ25SfwngGwt.jpg,45000000,2022-07-14,42500000,94,2022,nkDmYBuDcnU
883502,"Action, Thriller, Crime",Fortress: Sniper's Eye,"Weeks after the deadly assault on Fortress Camp, Robert makes a daring rescue to save Sasha, the widow of his old nemesis Balzary. But back in the camp's command bunker, it appears Sasha may have devious plans of her own. As a new attack breaks out, Robert is confronted with a familiar face he thought he'd never see again…",/qNRkfXBdAuXk9Qs3BEDIfmbAK9w.jpg,/61J34xHVVdQHbJ4MSCWQo4e727v.jpg,22000000,2022-04-29,69075,87,2022,Sej4pVKFAkE
858015,"Horror, Thriller",Dashcam,"At the start of the pandemic, an indulgent and self-deluded livestreaming improv musician abandons L.A. for London, steals her ex-bandmate's car, and makes the fateful decision to give a ride to an elderly woman who is not what she seems.",/iQazIvjYsrQpfTOjep6GeQq5N9D.jpg,/xdddNi35jI3u7e8vgXpo5eQVKrG.jpg,100000,2022-06-03,58156,80,2022,uOqHr1bC7iw
818397,"Action, Thriller, Crime",Memory,"Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.",/9zXPnbVpaDfTniLBuc5vgXGfzAP.jpg,/4Q1n3TwieoULnuaztu9aFjqHDTI.jpg,30000000,2022-04-28,13900000,114,2022,ye63hQLDj4k
