id,genres,original_title,overview,backdrop_path,poster_path,budget,release_date,revenue,runtime
809314,"Action, Thriller, Mystery",Trigger Point,Nicolas Shaw is a retired U.S. special operative who becomes part of an elite 'invisible' team that quietly takes out the worst villains around the world.,/jWMWZ2ttg8B8YtVzG04UfhlcL67.jpg,/qlXenN6jjgbsIyEJxBjkfkEU0q8.jpg,0,2021-04-23,29262,82
800497,"Horror, Comedy",Werewolves Within,"When a proposed pipeline creates hostilities between residents of a small town, a newly-arrived forest ranger must keep the peace after a snowstorm confines the townspeople to an old lodge. But when a mysterious creature begins terrorizing the group, their worst tendencies and prejudices rise to the surface, and it is up to the ranger to keep the residents alive, both from each other and the monster which plagues them.",/ae25gpphxDPEYGUxvAGmR07oQqC.jpg,/5CGgbgyvmE39Yoqa80GKsgClbQm.jpg,6500000,2021-06-25,937490,97
786110,"Horror, Thriller, Fantasy",Jakob's Wife,"After a chance encounter with ""The Master"", Anne discovers bite marks on her neck, a new sense of power, and an appetite to live bigger and bolder than ever.",/4wVUvEljeoClD7oCI5iSv3dnprW.jpg,/hsOSdY9ALwBLP41c6tAF5UXkpc0.jpg,0,2021-04-16,30000,98
776527,"Music, Documentary, History","Summer of Soul (...Or, When the Revolution Could Not Be Televised)","During the same summer as Woodstock, over 300,000 people attended the Harlem Cultural Festival, celebrating African American music and culture, and promoting Black pride and unity. The footage from the festival sat in a basement, unseen for over 50 years, keeping this incredible event in America's history lost — until now.",/1LYWnmr5K3Hs3XEZ323bY0dBZsK.jpg,/8kNwhqUGvpzWJd60O1Qvb8G6psK.jpg,0,2021-07-02,3696069,117
776515,"Comedy, Drama, Romance",Together Together,"When young loner Anna is hired as the surrogate for Matt, a single man in his 40s, the two strangers come to realize this unexpected relationship will quickly challenge their perceptions of connection, boundaries and the particulars of love.",/bHBMsK1LPmF9YbKeKcny684kIkK.jpg,/7cFawQz0urWvzsTbxTojbq11JJE.jpg,0,2021-04-23,1436145,90
769749,"Romance, Drama",Finding You,"Finley, a talented aspiring violinist, meets Beckett, a famous young movie star, on the way to her college semester abroad program in a small coastal village in Ireland. An unexpected romance emerges as the heartthrob Beckett leads the uptight Finley on an adventurous reawakening, and she emboldens him to take charge of his future, until the pressures of his stardom get in the way.",/43Ga71pmWeIkb0vMFvvgRCf5PPN.jpg,/mRSsYtYcbhNAfHBp3ha1Nr65agi.jpg,0,2021-05-13,3300000,119
760195,"Horror, Mystery",Separation,A young girl finds solace in her artist father and the ghost of her dead mother.,/7z5MJGJ9CObnu770ZubDQye7DKD.jpg,/jNJ8vKNKT75EW4cvpiWCMvg5TFS.jpg,0,2021-04-30,4496216,107
730047,"Drama, Romance",Cyrano,"A man ahead of his time, Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne, Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love, at first sight, with Christian.",/cfDQh8STZvzXtyr1iyb4cXzkLju.jpg,/e4koV8iC2cCM57bqUnEnIL2a2zH.jpg,20000000,2021-04-14,3000000,122
693827,"Crime, Drama, Thriller",Lansky,"When the aging Meyer Lansky is investigated one last time by the Feds who suspect he has stashed away millions of dollars over half a century, the retired gangster spins a dizzying tale, revealing the untold truth about his life as the notorious boss of Murder Inc. and the National Crime Syndicate.",/mkVtcSuN2cmdpl9jjMJXZNxI8Id.jpg,/brvSFZ1GMhbMzL3Is8kkvG1LbMt.jpg,5000000,2021-06-24,136579,119
672582,"Horror, Mystery",The Deep House,"While diving in a remote French lake, a couple of YouTubers who specialise in underwater exploration videos discover a house submerged in the deep waters. What was initially a unique finding soon turns into a nightmare when they discover that the house was the scene of atrocious crimes. Trapped, with their oxygen reserves falling dangerously, they realise the worst is yet to come: they are not alone in the house.",/hzPcEqyxZauvKZmUT2aJxntWPVf.jpg,/52E0LGcMKHOO91P4j6hdHKVwITP.jpg,0,2021-06-30,1900000,85
646207,"Action, Thriller",The Ice Road,"After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",/y9rrNKSLkS7imiR46hQWRnO0n2m.jpg,/pj6UQPrtmC0snzPeU1HUhGWTgz6.jpg,0,2021-06-24,7502846,108
637693,"Animation, Adventure, Family",Spirit Untamed,Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,/fZkhO3JhRajayNejQUaIiBegayM.jpg,/fLE2mvuvhvzmSICOsqR9uE50Ave.jpg,30000000,2021-05-20,17635215,88
625169,"History, Drama, Action",12 Mighty Orphans,"Haunted by his mysterious past, a devoted high school football coach leads a scrawny team of orphans to the state championship during the Great Depression and inspires a broken nation along the way.",/eg6cyUItUFSBi8ohc9sjehqpJi2.jpg,/aIY2QF211NLB1AOjZPFImusCLI1.jpg,0,2021-06-18,3615193,118
603206,"Comedy, Drama",Dream Horse,"The inspiring true story of Dream Alliance, an unlikely race horse bred by small town bartender, Jan Vokes. With very little money and no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream and compete with the racing elites. Their investment pays off as Dream rises through the ranks and becomes a beacon of hope in their struggling community.",/rZpyIeadpjHDJDBdl7BNLRtPF49.jpg,/uF1mnSdf9EqDIm5XfODAHU6AcWC.jpg,20000000,2021-05-21,6435260,113
578701,"Thriller, Action",Those Who Wish Me Dead,"A young boy finds himself pursued by two assassins in the Montana wilderness, with a survival expert determined to protect him, and a forest fire threatening to consume them all.",/ouOojiypBE6CD1aqcHPVq7cJf2R.jpg,/xCEg6KowNISWvMh8GvPSxtdf9TO.jpg,20000000,2021-05-05,23384502,100
565310,"Comedy, Drama",The Farewell,A headstrong Chinese-American woman returns to China when her beloved grandmother is given a terminal diagnosis. Billi struggles with her family's decision to keep grandma in the dark about her own illness as they all stage an impromptu wedding to see grandma one last time.,/5INPBiKVRsyp9kgHfsC0cTfvKFH.jpg,/7ht2IMGynDSVQGvAXhAb83DLET8.jpg,250300,2019-07-12,23076657,100
557950,"Comedy, Drama",Mainstream,A young woman thinks she’s found a path to internet stardom when she starts making YouTube videos with a charismatic stranger  – until the dark side of viral celebrity threatens to ruin them both.,/lpDI75ThFlgMvgCxetaIU0cJeLy.jpg,/6dvHSlWmEhOJDFD75ncHeBZ2n9t.jpg,5000000,2021-05-07,49638,95
539565,"Comedy, Crime",Zola,"A waitress agrees to accompany an exotic dancer, her put-upon boyfriend, and her mysterious and domineering roommate on a road trip to Florida to seek their fortune at a high-end strip club.",/zL7CozbpAbGSdhBsuTI847tu5Fo.jpg,/bJLCPROp9bmNndurwZpVnOioVpB.jpg,5000000,2021-06-30,3500000,86
534072,"Horror, Thriller",Great White,"A sea plane is destroyed in a freak accident, five people find themselves drifting on a raft. At the mercy of the tide and with no hope of rescue, the helpless situation takes a horrifying turn when they are terrorized by a ravenous great white.",/vvzucWIigLAWS8QawQRvpmUKM6.jpg,/5xQroYyf2gMAJDvLiWELHGEHD2h.jpg,0,2021-05-07,517929,91
500664,"Action, Thriller, Science Fiction",Upgrade,"A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure — an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility — skills he uses to seek revenge against the thugs who destroyed his life.",/q9HocL5f8WwPldwpvmpk8ZaNZkC.jpg,/cF8fsHKGfqdlm7kdmG2Dub4E2rg.jpg,5000000,2018-05-31,16706680,100
484247,"Crime, Thriller, Comedy",A Simple Favor,"Stephanie, a dedicated mother and popular vlogger, befriends Emily, a mysterious upper-class woman whose son Nicky attends the same school as Miles, Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears, Stephanie undertakes an investigation that will dive deep into Emily's cloudy past.",/nb1s8r6MhDcPyMjx3sjw9rFsEP5.jpg,/5EJWZQ8dh99hfgXP9zAD5Ak5Hrn.jpg,20000000,2018-08-29,97644617,117
481879,"Action, Comedy, Romance",Die in a Gunfight,"Mary and Ben are the star-crossed black sheep of two powerful families engaged in a centuries-long feud. When the pair reignite a romance after many years apart, their forbidden love draws a motley assortment of schemers and killers into their orbit, and as fists and bullets fly, it becomes clear that violent delights will have violent ends.",/zJIyrAt24I48Kz26ffu8dFpB6UQ.jpg,/byXLJZq5vfveYdAWaC4uMtojsWj.jpg,4000000,2021-07-01,31395,92
467909,"Drama, Romance",In the Heights,"The story of Usnavi, a bodega owner who has mixed feelings about closing his store and retiring to the Dominican Republic or staying in Washington Heights.",/uEJuqp08dH6IQwZJGASlPZOXqKu.jpg,/RO4KoJyoQMQzh9z76d4v4FJMmJ.jpg,55000000,2021-06-10,43000000,143
379686,"Family, Animation, Comedy, Science Fiction, Adventure",Space Jam: A New Legacy,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",/8s4h9friP6Ci3adRGahHARVd76E.jpg,/mDACFTANR34u6lvucazoYiFJOp7.jpg,150000000,2021-07-08,163692228,115
87492,"Drama, Thriller",Foxcatcher,The greatest Olympic Wrestling Champion brother team joins Team Foxcatcher led by multimillionaire sponsor John E. du Pont as they train for the 1988 games in Seoul - a union that leads to unlikely circumstances.,/tT8vexYdyHG0nHyXQkhzt8tbFkt.jpg,/w6Sl079QtUcQ9dVQ2RP6aN9NBXx.jpg,24000000,2014-11-14,12096300,134
805195,"Family, Drama",The Girl Who Believes in Miracles,"When Sara hears a preacher say faith can move mountains, she starts praying. Suddenly people in her town are mysteriously healed! But fame soon takes its toll – can Sara’s family save her before it’s too late?",/wwKTCPDgaq5nWs76Oitq9flUYvN.jpg,/riaVoQwSTQR7wDlZtveUSUhdoIu.jpg,0,2021-04-02,3157535,100
