id,genres,original_title,overview,backdrop_path,poster_path,budget,release_date,revenue,runtime,year,trailer,thumbnail,tags,viewCount,likeCount,favoriteCount,commentCount
82675,"Action, Crime, Thriller",Taken 2,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",/dvz4VvkSb3nA0hY6coyNsatXsZ4.jpg,/mGRtQS39DYIu6gXu5mXQsXFGZPO.jpg,45000000,2012-09-27,376100000,91,2012,otHUjWVgIig,https://i.ytimg.com/vi/otHUjWVgIig/sddefault.jpg,"""Liam Neeson,Maggie Grace,Famke Janssen,Olivier Megatron,Luc Besson,Taken,Taken 2,CIA,Action,Blockbuster,Bryan Mills""",24358,62,0,5
82633,"Crime, Drama, Western",Lawless,"In 1931, the Bondurant brothers of Franklin County, Virginia, run a multipurpose backwoods establishment that hides their true business — bootlegging. Middle brother Forrest is the brain of the operation; older Howard is the brawn, and younger Jack, the lookout. Though the local police have taken bribes and left the brothers alone, a violent war erupts when a sadistic lawman from Chicago arrives and tries to shut down the Bondurants operation.",/fEI7I233M9hkw1MRSBXEgauXhRl.jpg,/Ahtzwts22ayviD3LEVslfL4nRWB.jpg,26000000,2012-08-29,55404207,115,2012,HK-Q3wYsOgA,https://i.ytimg.com/vi/HK-Q3wYsOgA/sddefault.jpg,"""FilmKritikTV,Lawless trailer,Lawless official trailer,Lawless,trailer,2012,movie,Shia,LaBeouf,Gary,Oldman,Tom,Hardy""",196616,821,0,147
77866,"Thriller, Action, Drama, Crime",Contraband,"When his brother-in-law runs afoul of a drug lord, family man Chris Farraday turns to a skill he abandoned long ago—smuggling—to repay the debt. But the job goes wrong, and Farraday finds himself wanted by cops, crooks and killers alike.",/3se6YngJYOQ8rpbp7ZeNcnSKmmM.jpg,/dNNjyZQ0zVtmPa74nJE63Kn0xEx.jpg,25000000,2012-01-12,96262212,109,2012,Rp0b5ZXIUvE,https://i.ytimg.com/vi/Rp0b5ZXIUvE/sddefault.jpg,"""contraband,contraband trailer,contraband movie trailer,contraband film,baltasar kormákur,mark wahlburg,kate beckinsale,giovanni ribisi,ben foster,contraband 2012,contraband mark wahlberg,mark wahlberg contraband trailer,contraband official trailer,Reykjavík-Rotterdam,diego luna,jk simmons,lukas haas,universal pictures,contraband movie,mark wahlberg action movie,action thriller,mark wahlberg contraband movie""",1405674,2717,0,142
72387,"Action, Crime, Thriller",Safe,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.",/gc150q5RMjq5vXJddBk90dXFvlr.jpg,/kOCpkoMUVae9UIf85gO71SyjLbW.jpg,30000000,2012-04-16,40300000,94,2012,s3kTkk4k_5Q,https://i.ytimg.com/vi/s3kTkk4k_5Q/sddefault.jpg,"""Film,Jason Statham,Trailer,Action,Safe""",134507,434,0,26
57165,"Fantasy, Adventure, Action",Wrath of the Titans,"Perseus tries to live a quieter life as a village fisherman while – dangerously weakened by humanity's lack of devotion – the gods are losing control of the long-imprisoned Titans and their ferocious leader, Kronos.",/g6Bppew6A1PxpHfraNroo0mRBcm.jpg,/b9n2R3xZWQ8MVZgndQoV34stS0h.jpg,150000000,2012-03-28,301970083,99,2012,8jEWLCZA7R8,https://i.ytimg.com/vi/8jEWLCZA7R8/sddefault.jpg,"""wrath of the titans,clash of the titans 2,wrath of the titans trailer,wrath official,Sam Worthington,Ralph Fiennes,Liam Neeson,Danny Huston,Edgar Ramiez,Bill Nighy,Toby Kebbell,Rosamund Pike,avatar 2,avatar,kraken,perseus,zues,Jonathan Liebesman Dan Mazeau,David Leslie Johnson,Steven Knight Basil Iwanyk,Polly Cohen Johnsen,warner bros,warner brothers""",314204,1901,0,
27579,"Crime, Drama, Thriller",The American,"Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him.",/tjdjDn10yDK5R7b6HdwtTASqwmE.jpg,/5OEOsRaBsSxD0qBtAhus0iKDzr.jpg,20000000,2010-08-31,67900000,104,2010,ChQB0vpCQWw,https://i.ytimg.com/vi/ChQB0vpCQWw/sddefault.jpg,"""george,clooney,american,focus,features,trailer,anton,corbijn,thekla,reuten,violante,placido,53,second,suspense,thriller,assassin,travel,europe,italy,abroad""",555884,261,0,203
23168,"Crime, Drama, Thriller",The Town,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",/2MV0j6B78xwQOunHwyGbXZlXG5p.jpg,/3NIzyXkfylsjflRKSz8Fts3lXzm.jpg,37000000,2010-09-15,154026136,125,2010,uAjECYnrYks,https://i.ytimg.com/vi/uAjECYnrYks/sddefault.jpg,"""legendary,warner bros,films,movie,movies,tv,the town,boston,trailer""",1992993,9638,0,583
11322,"Crime, History, Drama",Public Enemies,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",/rlKB2moKVOPasy4Dr19QluzbJgA.jpg,/ezFQaPf4cOEfsl39Me0gSV29d7V.jpg,100000000,2009-07-01,214104620,140,2009,pv0DMzFwEW4,,"""Public,Enemies,trailer,johnny,depp,christian,bale,michael,mann""",517494,1858,0,233
460885,"Fantasy, Action, Horror",Mandy,"The Shadow Mountains, 1983. Red and Mandy lead a loving and peaceful existence; but when their pine-scented haven is savagely destroyed, Red is catapulted into a phantasmagoric journey filled with bloody vengeance and laced with fire.",/mqbAmIiToU2R4VwZGgCqsfy6Yh4.jpg,/m0yf7J7HsKeK6E81SMRcX8vx6mH.jpg,6000000,2018-09-13,1653784,122,2018,rI054ow6KJk,https://i.ytimg.com/vi/rI054ow6KJk/sddefault.jpg,"""mandy,mandy movie,official,trailer,movie,film,dvd,bluray,blu-ray,nicolas cage,andrea riseborough,linus roache,bill duke,panos cosmatos,johann johannsson,cult,trippy,action,thriller,2018,ned dennehy,Olwen Fouéré,richard brake,olwen fouere""",5594550,31347,0,3000
353070,"Crime, Comedy",Going in Style,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",/uARnuPezr7eZkOsHj2ujFQz6EKE.jpg,/4nfWsdsJfO5srRZgxiWC9xHub0W.jpg,25000000,2017-04-06,84618541,96,2017,hcdTN5soeQw,https://i.ytimg.com/vi/hcdTN5soeQw/sddefault.jpg,"""Going In Style,Going In Style Movie,Morgan Freeman,Alan Arkin,Michael Caine,Warner Bros,WB,Trailer,Movie,Bank Robbery,Heist,Heist Movie,Old,Old Man,Money,official trailer,wb trailer,Zach Braff,movie,cinema,film,robbery,pension,money""",6757371,27630,0,1057
303991,"Comedy, Drama",Demolition,An emotionally desperate investment banker finds hope through a woman he meets.,/dapUorbOMzlaB12dACCtaiuaTQz.jpg,/4t56LZ1KbOOxgKfqMKN6truBDVc.jpg,10000000,2016-04-06,4366460,101,2016,3UnSXelOJo0,https://i.ytimg.com/vi/3UnSXelOJo0/sddefault.jpg,"""Jake Gyllenhaal,chris cooper,naomi watts,jean marc valle""",4859157,29242,0,1137
179,"Crime, Thriller",The Interpreter,"After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate.",/A5mBIAtZOqVpAVUXolwtOnaQcZc.jpg,/wTidq3J9fh8sEOAlD8WZFHVLSuB.jpg,80000000,2005-04-08,162944923,128,2005,a7O8mPlNlRY,,"""interpreterhq""",106755,88,0,14
428449,"Drama, Fantasy, Mystery, Romance",A Ghost Story,"Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away.",/2y2aqaScd7jsUee0ddI1iRNgwGq.jpg,/rp5JPIyZi9sMob15l46zNQLe5cO.jpg,100000,2017-04-24,1929659,93,2017,c_3NMtxeyfk,https://i.ytimg.com/vi/c_3NMtxeyfk/sddefault.jpg,"""official trailer,a24,a24 films,a24 movies,a24 trailers,movie trailers,trailers,coming soon,2017 movies,action,the witch,a24 horror,supernatural,murder,a24 the witch,sonia acevedo,casey affleck,carlos bermudez,affleck,david lowery,a ghost story,ghost,ghost stories,scary stories,drama,romance,fantasy,ghost trailer,sundance,sundance trailer,death,depression,family,Rooney Mara,rooney,mara,kesha,a ghost story trailer,a ghost story film,a ghost story movie""",6064472,42539,0,2060
345940,"Action, Science Fiction, Horror",The Meg,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",/2uSCHUsmzb6KkQPFSxBQ7bgfJLE.jpg,/eyWICPcxOuTcDDDbTMOZawoOn8d.jpg,150000000,2018-08-09,530517320,113,2018,X_HfzGwzVP8,https://i.ytimg.com/vi/X_HfzGwzVP8/sddefault.jpg,"""the meg,meg,shark,shark movie,shark week,under the water,under the sea,jason statham,statham,jason,actionbuy movie on youtube,buy movie online,stream movie online,watch movie online,rent movie online,watch full movieWarner bros,Warner bros movie,wb movie,warner bros movie trailer,warner brothers home entertainment,warner bros home video,warner bros family entertainment,warner bros studios,warner bros pictures""",77667,301,0,16
59961,"Action, Thriller",Safe House,"A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.",/m2COg188BOQHHfPN6jQZnCVuG13.jpg,/7CBhSjQa07LYt0RGejYjWugGmdV.jpg,85000000,2012-02-08,208076205,115,2012,oWzTOoOpFa8,https://i.ytimg.com/vi/oWzTOoOpFa8/sddefault.jpg,"""Safe House,Safe House movie,official trailer,trailer,movies,Denzel Washington,Ryan Reynolds,Brendan Gleeson,Sam Shepard,Vera Farmiga,Fares Fares,Robert Patrick,Nora Arnezeder,Liam Cunningham,Joel Kinnaman,Ruben Blades,Daniel Espinosa,South Africa,Cape Town,Tobin Frost,CIA,Training Day,American Gangster""",9807854,5991,0,1466
951491,"Horror, Mystery, Thriller",Saw X,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",/uUJp5I4IbzuhdUiEx4R9OAoFpbz.jpg,/u7Lp1Hi8aBS73jv4KRMIv5aK4ax.jpg,13000000,2023-09-27,125319714,118,2023,t3PzUo4P21c,https://i.ytimg.com/vi/t3PzUo4P21c/sddefault.jpg,"""Saw,Saw franchise,Saw film,Saw films,Saw X,Saw X official trailer,Saw X film,Saw X movie,Saw X trailer,Tobin Bell,traps,dangerous,SAW,Lionsgate,LGC,Twisted Pictures,Halloween,spooky,horror,horror movies,horror franchise,SAW movies,SAW franchise,exclusive,keys,suspense,thrills,thriller,drama,saw,Kevin Greutert,Josh Stolberg,Pete Goldfinger,Steven Brand,Michael Beach""",39281204,175289,0,15394
